,ID,ID2,Geographic.Area.Name,PERCPOV,PERCWHT,PERCBLK,PERCVAC,PERC25K,PERC75K,PERCNOHS,pri_neigh
31,1.70E+11,1500000US170310107023,"Block Group 3, Census Tract 107.02, Cook County, Illinois",21.05263158,52.98507463,28.01899593,7.637906648,36.14088821,16.38591118,11.55507559,Rogers Park
32,1.70E+11,1500000US170310107024,"Block Group 4, Census Tract 107.02, Cook County, Illinois",12.98701299,40.76809453,28.06499261,17.25,26.28398792,4.833836858,17.53653445,Rogers Park
33,1.70E+11,1500000US170310201001,"Block Group 1, Census Tract 201, Cook County, Illinois",18.69918699,46.13987284,27.0208901,13.04347826,22.19512195,27.19512195,21.6540404,
34,1.70E+11,1500000US170310201002,"Block Group 2, Census Tract 201, Cook County, Illinois",10.98484848,34.95762712,45.6920904,13.30798479,20.32163743,12.86549708,13.46516008,
35,1.70E+11,1500000US170310202001,"Block Group 1, Census Tract 202, Cook County, Illinois",0,88.50718301,0.874453467,0,0,76.92307692,0,West Ridge
36,1.70E+11,1500000US170310202002,"Block Group 2, Census Tract 202, Cook County, Illinois",19.48051948,51.94723618,12.81407035,22.35494881,40.21978022,15.82417582,27.84272051,West Ridge
37,1.70E+11,1500000US170310202003,"Block Group 3, Census Tract 202, Cook County, Illinois",7.127429806,48.60476915,1.014713343,6.077348066,8.235294118,46.2745098,30.59322034,
38,1.70E+11,1500000US170310202004,"Block Group 4, Census Tract 202, Cook County, Illinois",3.441295547,39.73747017,28.22195704,1.92926045,7.540983607,50.16393443,4.987735078,
39,1.70E+11,1500000US170310203011,"Block Group 1, Census Tract 203.01, Cook County, Illinois",12.15880893,81.64676304,5.279698303,4.916317992,23.10231023,23.87238724,6.163886875,West Ridge
40,1.70E+11,1500000US170310203012,"Block Group 2, Census Tract 203.01, Cook County, Illinois",14.28571429,72.65917603,0.624219725,7.36196319,28.47682119,17.21854305,9.760956175,West Ridge
41,1.70E+11,1500000US170310203013,"Block Group 3, Census Tract 203.01, Cook County, Illinois",3.493449782,85.53172068,4.655408489,8.372827804,4.310344828,36.89655172,13.85041551,West Ridge
